2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
