2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
