1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
