296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
