2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
