882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
