2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
