885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
