885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
