299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
