297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
