1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
