1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
