295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
