2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
