1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
887 - SeqGS, GradientSolver, pre_0, post_0, cells_55
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1471 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_51
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
