Configuration;MeasuredValue;PredictedValue
iv_users%_%root%_%time_passes%_%;210.34;220.9411
gvn%_%iv_users%_%root%_%time_passes%_%;219.1533;246.1489
instcombine%_%iv_users%_%root%_%time_passes%_%;216.4033;228.4121
inline%_%iv_users%_%root%_%time_passes%_%;207.7467;238.9035
iv_users%_%jump_threading%_%root%_%time_passes%_%;199.6833;226.3868
iv_users%_%root%_%simplifycfg%_%time_passes%_%;200.38;220.9411
iv_users%_%root%_%sccp%_%time_passes%_%;200.66;219.5758
iv_users%_%print_used_types%_%root%_%time_passes%_%;203.18;209.1353
ipsccp%_%iv_users%_%root%_%time_passes%_%;202.2333;213.1203
iv_users%_%licm%_%root%_%time_passes%_%;212.4467;220.9411
gvn%_%iv_users%_%licm%_%root%_%time_passes%_%;228.3;246.1489
instcombine%_%iv_users%_%licm%_%root%_%time_passes%_%;230.74;228.4121
inline%_%iv_users%_%licm%_%root%_%time_passes%_%;241.7767;238.9035
iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;212.92;226.3868
iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;213.48;220.9411
iv_users%_%licm%_%root%_%sccp%_%time_passes%_%;214.37;219.5758
iv_users%_%licm%_%print_used_types%_%root%_%time_passes%_%;216.5867;209.1353
ipsccp%_%iv_users%_%licm%_%root%_%time_passes%_%;215.6067;213.1203
gvn%_%jump_threading%_%root%_%time_passes%_%;232.2;249.3642
gvn%_%licm%_%root%_%time_passes%_%;267.4267;260.5039
jump_threading%_%licm%_%root%_%time_passes%_%;220.08;227.1729
gvn%_%jump_threading%_%licm%_%root%_%time_passes%_%;256.2233;249.3642
gvn%_%iv_users%_%jump_threading%_%root%_%time_passes%_%;221.6067;238.4839
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%time_passes%_%;230.79;238.4839
jump_threading%_%root%_%simplifycfg%_%time_passes%_%;205.9467;227.1729
gvn%_%root%_%simplifycfg%_%time_passes%_%;230.74;260.5039
gvn%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;229.8567;249.3642
gvn%_%iv_users%_%root%_%simplifycfg%_%time_passes%_%;222.2367;246.1489
iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;200.9233;226.3868
gvn%_%iv_users%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;223.0133;238.4839
licm%_%root%_%simplifycfg%_%time_passes%_%;219.4967;223.5858
jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;218.0733;227.1729
iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;214.2433;226.3868
gvn%_%licm%_%root%_%simplifycfg%_%time_passes%_%;238.7533;260.5039
gvn%_%iv_users%_%licm%_%root%_%simplifycfg%_%time_passes%_%;231.2167;246.1489
gvn%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;255.6433;249.3642
gvn%_%iv_users%_%jump_threading%_%licm%_%root%_%simplifycfg%_%time_passes%_%;232.2167;238.4839
instcombine%_%root%_%simplifycfg%_%time_passes%_%;224.0733;237.1237
instcombine%_%jump_threading%_%root%_%time_passes%_%;234.08;235.9092
instcombine%_%jump_threading%_%root%_%simplifycfg%_%time_passes%_%;233.2767;235.9092
gvn%_%instcombine%_%root%_%time_passes%_%;232.7;252.0339
gvn%_%instcombine%_%jump_threading%_%root%_%time_passes%_%;245.9367;245.6139
gvn%_%instcombine%_%root%_%simplifycfg%_%time_passes%_%;246.7567;252.0339
