1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
884 - SeqGS, GradientSolver, pre_0, post_0, cells_52
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
