1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
2060 - SeqSOR, GradientSolver, pre_0, post_0, cells_52
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
3 - SeqGS, CGSolver, pre_0, post_0, cells_53
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
5 - SeqGS, CGSolver, pre_0, post_0, cells_55
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1475 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_55
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
