1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
298 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_54
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
882 - SeqGS, GradientSolver, pre_0, post_0, cells_50
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
2059 - SeqSOR, GradientSolver, pre_0, post_0, cells_51
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1767 - SeqSOR, LoopSolver, pre_0, post_0, cells_53
1769 - SeqSOR, LoopSolver, pre_0, post_0, cells_55
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
294 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_50
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
4 - SeqGS, CGSolver, pre_0, post_0, cells_54
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1 - SeqGS, CGSolver, pre_0, post_0, cells_51
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
588 - SeqGS, LoopSolver, pre_0, post_0, cells_50
1178 - SeqSOR, CGSolver, pre_0, post_0, cells_52
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
883 - SeqGS, GradientSolver, pre_0, post_0, cells_51
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
