1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1766 - SeqSOR, LoopSolver, pre_0, post_0, cells_52
2061 - SeqSOR, GradientSolver, pre_0, post_0, cells_53
1765 - SeqSOR, LoopSolver, pre_0, post_0, cells_51
886 - SeqGS, GradientSolver, pre_0, post_0, cells_54
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1181 - SeqSOR, CGSolver, pre_0, post_0, cells_55
885 - SeqGS, GradientSolver, pre_0, post_0, cells_53
297 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_53
1179 - SeqSOR, CGSolver, pre_0, post_0, cells_53
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1474 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_54
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
295 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_51
1472 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_52
1176 - SeqSOR, CGSolver, pre_0, post_0, cells_50
0 - SeqGS, CGSolver, pre_0, post_0, cells_50
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
