1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
2063 - SeqSOR, GradientSolver, pre_0, post_0, cells_55
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
1768 - SeqSOR, LoopSolver, pre_0, post_0, cells_54
1473 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_53
296 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_52
2058 - SeqSOR, GradientSolver, pre_0, post_0, cells_50
589 - SeqGS, LoopSolver, pre_0, post_0, cells_51
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
1470 - SeqSOR, BiCGSTABSolver, pre_0, post_0, cells_50
591 - SeqGS, LoopSolver, pre_0, post_0, cells_53
299 - SeqGS, BiCGSTABSolver, pre_0, post_0, cells_55
1177 - SeqSOR, CGSolver, pre_0, post_0, cells_51
592 - SeqGS, LoopSolver, pre_0, post_0, cells_54
593 - SeqGS, LoopSolver, pre_0, post_0, cells_55
2062 - SeqSOR, GradientSolver, pre_0, post_0, cells_54
590 - SeqGS, LoopSolver, pre_0, post_0, cells_52
1180 - SeqSOR, CGSolver, pre_0, post_0, cells_54
1764 - SeqSOR, LoopSolver, pre_0, post_0, cells_50
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
2 - SeqGS, CGSolver, pre_0, post_0, cells_52
